#Software: unstable (commit nogit)
#Command: breakdancer-max -o Drosophila_subobscura_NC_048532.1 Puntos_rotura/OF58_puntos_rotura_bwamem2.cfg 
#Library Statistics:
#OF58_mate_proc_dupmarc_bwamem2.bam	mean:308.84	std:106.42	uppercutoff:706.3	lowercutoff:0	readlen:99.5	library:OF58	reflen:23815271	seqcov:38.4522	phycov:59.6763	1:5694	2:25483	4:9200	8:6054	32:27813
#Chr1	Pos1	Orientation1	Chr2	Pos2	Orientation2	Type	Size	Score	num_Reads	num_Reads_lib	OF58_mate_proc_dupmarc_bwamem2.bam
Drosophila_subobscura_NC_048532.1	26658	3+0-	Drosophila_subobscura_NC_048532.1	27108	1+5-	DEL	430	45	3	OF58_mate_proc_dupmarc_bwamem2.bam|3	1.23
Drosophila_subobscura_NC_048532.1	28176	4+9-	Drosophila_subobscura_NC_048532.1	29159	48+43-	INV	617	84	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	1.35
Drosophila_subobscura_NC_048532.1	28176	4+9-	Drosophila_subobscura_NC_048532.1	29614	1+10-	INV	1125	99	6	OF58_mate_proc_dupmarc_bwamem2.bam|6	1.48
Drosophila_subobscura_NC_048532.1	86444	45+2-	Drosophila_subobscura_NC_048532.1	91558	0+44-	DEL	5188	99	42	OF58_mate_proc_dupmarc_bwamem2.bam|42	0.01
Drosophila_subobscura_NC_048532.1	95272	4+3-	Drosophila_subobscura_NC_048532.1	103385	0+14-	DEL	8133	49	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	1.15
Drosophila_subobscura_NC_048532.1	154831	4+6-	Drosophila_subobscura_NC_048532.1	155325	0+18-	DEL	424	42	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	0.38
Drosophila_subobscura_NC_048532.1	177625	10+0-	Drosophila_subobscura_NC_048532.1	177923	2+10-	DEL	433	99	10	OF58_mate_proc_dupmarc_bwamem2.bam|10	0.33
Drosophila_subobscura_NC_048532.1	228758	1+52-	Drosophila_subobscura_NC_048532.1	230557	52+15-	ITX	1127	99	52	OF58_mate_proc_dupmarc_bwamem2.bam|52	2.81
Drosophila_subobscura_NC_048532.1	234098	52+4-	Drosophila_subobscura_NC_048532.1	234851	55+107-	DEL	794	99	45	OF58_mate_proc_dupmarc_bwamem2.bam|45	0.03
Drosophila_subobscura_NC_048532.1	248703	13+8-	Drosophila_subobscura_NC_048532.1	265572	11+11-	ITX	16205	76	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	1.57
Drosophila_subobscura_NC_048532.1	248864	13+8-	Drosophila_subobscura_NC_048532.1	265751	0+11-	DEL	16858	50	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	1.56
Drosophila_subobscura_NC_048532.1	264219	38+0-	Drosophila_subobscura_NC_048532.1	265338	11+11-	DEL	1110	99	9	OF58_mate_proc_dupmarc_bwamem2.bam|9	0.03
