#Software: unstable (commit nogit)
#Command: breakdancer-max -o Drosophila_subobscura_NC_048534.1 Puntos_rotura/OF58_puntos_rotura_bwamem2.cfg 
#Library Statistics:
#OF58_mate_proc_dupmarc_bwamem2.bam	mean:308.84	std:106.42	uppercutoff:706.3	lowercutoff:0	readlen:99.5	library:OF58	reflen:25941696	seqcov:39.4298	phycov:61.1935	1:8748	2:30816	4:27194	8:8281	32:47458
#Chr1	Pos1	Orientation1	Chr2	Pos2	Orientation2	Type	Size	Score	num_Reads	num_Reads_lib	OF58_mate_proc_dupmarc_bwamem2.bam
Drosophila_subobscura_NC_048534.1	1	6186+5107-	Drosophila_subobscura_NC_048534.1	1119	6186+5107-	ITX	-250	99	1834	OF58_mate_proc_dupmarc_bwamem2.bam|1834	NA
Drosophila_subobscura_NC_048534.1	76625	46+0-	Drosophila_subobscura_NC_048534.1	77349	0+46-	DEL	794	99	46	OF58_mate_proc_dupmarc_bwamem2.bam|46	0.04
Drosophila_subobscura_NC_048534.1	254869	17+0-	Drosophila_subobscura_NC_048534.1	257080	0+16-	DEL	2197	99	14	OF58_mate_proc_dupmarc_bwamem2.bam|14	0.28
Drosophila_subobscura_NC_048534.1	278564	14+19-	Drosophila_subobscura_NC_048534.1	317583	17+0-	INV	38642	99	14	OF58_mate_proc_dupmarc_bwamem2.bam|14	2.02
Drosophila_subobscura_NC_048534.1	278564	14+19-	Drosophila_subobscura_NC_048534.1	317931	0+28-	INV	38976	99	18	OF58_mate_proc_dupmarc_bwamem2.bam|18	2.01
Drosophila_subobscura_NC_048534.1	310775	0+4-	Drosophila_subobscura_NC_048534.1	310836	0+4-	INV	-205	46	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	NA
Drosophila_subobscura_NC_048534.1	334111	17+0-	Drosophila_subobscura_NC_048534.1	334931	16+17-	DEL	800	99	17	OF58_mate_proc_dupmarc_bwamem2.bam|17	1.85
Drosophila_subobscura_NC_048534.1	334165	0+15-	Drosophila_subobscura_NC_048534.1	335043	16+17-	ITX	284	99	15	OF58_mate_proc_dupmarc_bwamem2.bam|15	1.26
Drosophila_subobscura_NC_048534.1	337594	45+0-	Drosophila_subobscura_NC_048534.1	338572	0+7-	DEL	903	34	3	OF58_mate_proc_dupmarc_bwamem2.bam|3	0.56
Drosophila_subobscura_NC_048534.1	347402	19+25-	Drosophila_subobscura_NC_048534.1	352055	0+12-	DEL	4701	44	5	OF58_mate_proc_dupmarc_bwamem2.bam|5	1.34
Drosophila_subobscura_NC_048534.1	351412	21+34-	Drosophila_subobscura_NC_048534.1	357931	7+7-	INV	6165	99	7	OF58_mate_proc_dupmarc_bwamem2.bam|7	1.78
Drosophila_subobscura_NC_048534.1	397030	37+0-	Drosophila_subobscura_NC_048534.1	400114	0+37-	DEL	3164	99	37	OF58_mate_proc_dupmarc_bwamem2.bam|37	0.10
Drosophila_subobscura_NC_048534.1	402260	14+9-	Drosophila_subobscura_NC_048534.1	450618	3+0-	ITX	47839	45	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	1.93
Drosophila_subobscura_NC_048534.1	438716	18+0-	Drosophila_subobscura_NC_048534.1	439194	0+44-	DEL	490	99	10	OF58_mate_proc_dupmarc_bwamem2.bam|10	0.25
Drosophila_subobscura_NC_048534.1	472286	3+3-	Drosophila_subobscura_NC_048534.1	472450	3+3-	INV	-208	40	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	NA
Drosophila_subobscura_NC_048534.1	511866	2+2-	Drosophila_subobscura_NC_048534.1	511933	2+2-	INV	-264	57	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	NA
Drosophila_subobscura_NC_048534.1	587000	6+0-	Drosophila_subobscura_NC_048534.1	587419	1+18-	DEL	434	57	6	OF58_mate_proc_dupmarc_bwamem2.bam|6	0.47
Drosophila_subobscura_NC_048534.1	589586	20+0-	Drosophila_subobscura_NC_048534.1	590017	2+13-	DEL	469	51	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	0.51
Drosophila_subobscura_NC_048534.1	601330	40+1-	Drosophila_subobscura_NC_048534.1	602525	0+28-	DEL	1164	99	14	OF58_mate_proc_dupmarc_bwamem2.bam|14	0.11
Drosophila_subobscura_NC_048534.1	603442	33+0-	Drosophila_subobscura_NC_048534.1	604141	3+28-	DEL	749	99	16	OF58_mate_proc_dupmarc_bwamem2.bam|16	0.10
Drosophila_subobscura_NC_048534.1	614977	39+0-	Drosophila_subobscura_NC_048534.1	615706	2+44-	DEL	795	99	34	OF58_mate_proc_dupmarc_bwamem2.bam|34	0.07
Drosophila_subobscura_NC_048534.1	625597	0+49-	Drosophila_subobscura_NC_048534.1	648132	41+32-	ITX	21820	99	13	OF58_mate_proc_dupmarc_bwamem2.bam|13	1.96
Drosophila_subobscura_NC_048534.1	653896	0+76-	Drosophila_subobscura_NC_048534.1	656394	65+1-	ITX	1909	99	19	OF58_mate_proc_dupmarc_bwamem2.bam|19	8.84
Drosophila_subobscura_NC_048534.1	657284	45+0-	Drosophila_subobscura_NC_048534.1	659794	0+45-	DEL	2575	99	45	OF58_mate_proc_dupmarc_bwamem2.bam|45	0.03
Drosophila_subobscura_NC_048534.1	674380	121+21-	Drosophila_subobscura_NC_048534.1	679804	0+37-	DEL	5513	99	19	OF58_mate_proc_dupmarc_bwamem2.bam|19	0.07
Drosophila_subobscura_NC_048534.1	682113	15+7-	Drosophila_subobscura_NC_048534.1	682844	4+20-	DEL	749	78	8	OF58_mate_proc_dupmarc_bwamem2.bam|8	0.15
Drosophila_subobscura_NC_048534.1	714462	10+57-	Drosophila_subobscura_NC_048534.1	714572	10+57-	ITX	-283	36	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	NA
Drosophila_subobscura_NC_048534.1	731374	31+0-	Drosophila_subobscura_NC_048534.1	736974	17+37-	DEL	5670	99	31	OF58_mate_proc_dupmarc_bwamem2.bam|31	0.12
Drosophila_subobscura_NC_048534.1	759216	34+0-	Drosophila_subobscura_NC_048534.1	760286	18+31-	DEL	1100	99	27	OF58_mate_proc_dupmarc_bwamem2.bam|27	0.07
Drosophila_subobscura_NC_048534.1	760916	7+6-	Drosophila_subobscura_NC_048534.1	761773	0+45-	DEL	750	59	6	OF58_mate_proc_dupmarc_bwamem2.bam|6	0.11
Drosophila_subobscura_NC_048534.1	767769	6+2-	Drosophila_subobscura_NC_048534.1	837334	0+13-	DEL	69492	80	6	OF58_mate_proc_dupmarc_bwamem2.bam|6	2.01
Drosophila_subobscura_NC_048534.1	850555	40+0-	Drosophila_subobscura_NC_048534.1	851027	0+40-	DEL	513	99	40	OF58_mate_proc_dupmarc_bwamem2.bam|40	0.18
Drosophila_subobscura_NC_048534.1	654416	6+13-	Drosophila_subobscura_NC_048534.1	951988	12+0-	INV	297078	80	5	OF58_mate_proc_dupmarc_bwamem2.bam|5	1.70
Drosophila_subobscura_NC_048534.1	858550	47+0-	Drosophila_subobscura_NC_048534.1	868156	0+46-	DEL	9658	99	46	OF58_mate_proc_dupmarc_bwamem2.bam|46	0.22
Drosophila_subobscura_NC_048534.1	874748	4+0-	Drosophila_subobscura_NC_048534.1	875176	0+4-	DEL	427	49	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	0.76
